31, Herbert, Clark, Hoover, 1929-1933, Republican,http://millercenter.org/images/entry/large/5c648b297704fae958ce2c5f33e62f8d.jpg
32, Franklin, Delano, Roosevelt, 1933-1945, Democrat,http://millercenter.org/images/entry/large/9c12d98f13b512a04f727f4a2de7efd1.jpg
33, Harry, S, Truman, 1945-1953, Democrat,http://millercenter.org/images/entry/large/91db1d18bcfd3b96cdaac6fb3878dc56.jpg
34, Dwight, David, Eisenhower, 1953-1961, Republican,http://millercenter.org/images/entry/large/751d3b3c45643e44fed16252ae90df57.jpg
35, John, Fitzgerald, Kennedy, 1961-1963, Democrat,http://millercenter.org/images/entry/large/ae956619ba3957b80cdde1adc5f88b00.jpg
36, Lyndon, Baines, Johnson, 1963-1969, Democrat,http://millercenter.org/images/entry/large/e86014d5720128d0c50139020ee98898.jpg
37, Richard, Milhous, Nixon, 1969-1974, Republican,http://millercenter.org/images/entry/large/46777979a5472b45b7a2862507107d24.jpg
38, Gerald, Rudolph, Ford, 1974-1977, Republican,http://millercenter.org/images/entry/large/67ce23c7f6049d5bb2c30304419fabf0.jpg
39, James, Earl, Carter, 1977-1981, Democrat,http://millercenter.org/images/entry/large/ec7c8e24673ee6193f619e8e17852451.jpg
40, Ronald, Wilson, Reagan, 1981-1989, Republican,http://millercenter.org/images/entry/large/fb8a5e8227279d9d08f10bdee37858ea.jpg
41, George, Herbert-Walker, Bush, 1989-1993, Republican,http://millercenter.org/images/entry/large/bdf70712860283dd2902b3d01894ec16.jpg
42, William, Jefferson, Clinton, 1993-2001, Democrat,http://millercenter.org/images/entry/large/d8e64019eba84d202be40263c3a0f182.jpg
43, George, Walker, Bush, 2001-2009, Republican,http://rlv.zcache.com/george_w_bush_official_portrait_photo_print-ra1b4304b7a8843f8a75ad48d4418bea1_zmv0f_8byvr_324.jpg
44, Barack, Hussein, Obama, 2009-2016, Democrat,http://millercenter.org/images/entry/large/261036d18866ef4ff0a1db0c637cfd79.jpg
